example,state,pop,density,days,cases,deaths
1,California,39937489.000,256.370,64.000,5797.000,124.000
2,Texas,29472295.000,112.820,26.000,2735.000,37.000
3,Florida,21992985.000,410.130,29.000,4246.000,56.000
4,New York,19440469.000,412.520,29.000,59648.000,965.000
5,Pennsylvania,12820878.000,286.540,24.000,3432.000,41.000
6,Illinois,12659682.000,228.020,66.000,4567.000,49.000
7,Ohio,11747694.000,287.500,21.000,1653.000,29.000
8,Georgia,10736059.000,186.670,28.000,2651.000,80.000
9,North Carolina,10611862.000,218.270,27.000,1190.000,7.000
10,Michigan,10045029.000,177.670,20.000,5488.000,132.000
11,New Jersey,8936574.000,1215.200,26.000,13386.000,161.000
12,Virginia,8626207.000,218.440,23.000,890.000,18.000
13,Washington,7797095.000,117.330,69.000,4409.000,195.000
14,Arizona,7378494.000,64.960,63.000,919.000,17.000
15,Massachusetts,6976597.000,894.440,58.000,4955.000,48.000
16,Tennessee,6897576.000,167.270,25.000,1720.000,8.000
17,Indiana,6745354.000,188.280,24.000,1513.000,32.000
18,Missouri,6169270.000,89.750,23.000,904.000,13.000
19,Maryland,6083116.000,626.670,25.000,1239.000,10.000
20,Wisconsin,5851754.000,108.050,54.000,1119.000,17.000
21,Colorado,5845526.000,56.400,25.000,2063.000,44.000
22,Minnesota,5700671.000,71.590,24.000,503.000,9.000
23,South Carolina,5210095.000,173.320,23.000,774.000,16.000
24,Alabama,4908621.000,96.920,17.000,827.000,9.000
25,Louisiana,4645184.000,107.520,21.000,3540.000,151.000
26,Kentucky,4499692.000,113.960,24.000,402.000,9.000
27,Oregon,4301089.000,44.810,31.000,548.000,13.000
28,Oklahoma,3954821.000,57.650,24.000,429.000,16.000
29,Connecticut,3563077.000,735.870,22.000,1524.000,33.000
30,Utah,3282115.000,39.940,24.000,720.000,2.000
31,Iowa,3179849.000,56.930,22.000,336.000,4.000
32,Nevada,3139658.000,28.600,25.000,739.000,14.000
33,Arkansas,3038999.000,58.400,19.000,421.000,5.000
34,Puerto Rico,3032165.000,876.600,17.000,127.000,3.000
35,Mississippi,2989260.000,63.710,19.000,759.000,14.000
36,Kansas,2910357.000,35.600,23.000,322.000,6.000
37,New Mexico,2096640.000,17.290,19.000,237.000,2.000
38,Nebraska,1952570.000,25.420,24.000,108.000,2.000
39,Idaho,1826156.000,22.100,17.000,265.000,5.000
40,West Virginia,1778070.000,73.970,13.000,113.000,0.000
41,Hawaii,1412687.000,219.940,24.000,149.000,0.000
42,New Hampshire,1371246.000,153.160,28.000,214.000,2.000
43,Maine,1345790.000,43.630,18.000,253.000,3.000
44,Montana,1086759.000,7.470,19.000,154.000,1.000
45,Rhode Island,1056161.000,1021.430,29.000,294.000,3.000
46,Delaware,982895.000,504.310,19.000,232.000,6.000
47,South Dakota,903027.000,11.910,20.000,90.000,1.000
48,North Dakota,761723.000,11.040,19.000,98.000,1.000
49,Alaska,734002.000,1.290,18.000,102.000,2.000
50,District of Columbia,720687.000,11814.540,23.000,342.000,5.000
51,Vermont,628061.000,68.140,22.000,235.000,12.000
52,Wyoming,567025.000,5.840,19.000,86.000,0.000
53,California,39937489.000,256.370,67.000,10838.000,234.000
54,Texas,29472295.000,112.820,29.000,4823.000,77.000
55,Florida,21992985.000,410.130,32.000,9008.000,144.000
56,New York,19440469.000,412.520,32.000,93053.000,2538.000
57,Pennsylvania,12820878.000,286.540,27.000,7624.000,90.000
58,Illinois,12659682.000,228.020,69.000,7695.000,157.000
59,Ohio,11747694.000,287.500,24.000,2902.000,81.000
60,Georgia,10736059.000,186.670,31.000,5348.000,163.000
61,North Carolina,10611862.000,218.270,30.000,2023.000,306.000
62,Michigan,10045029.000,177.670,23.000,10791.000,417.000
63,New Jersey,8936574.000,1215.200,29.000,25590.000,537.000
64,Virginia,8626207.000,218.440,26.000,1706.000,222.000
65,Washington,7797095.000,117.330,72.000,6585.000,272.000
66,Arizona,7378494.000,64.960,66.000,1598.000,32.000
67,Massachusetts,6976597.000,894.440,61.000,8966.000,154.000
68,Tennessee,6897576.000,167.270,28.000,3194.000,32.000
69,Indiana,6745354.000,188.280,27.000,3039.000,474.000
70,Missouri,6169270.000,89.750,26.000,1834.000,253.000
71,Maryland,6083116.000,626.670,28.000,2331.000,36.000
72,Wisconsin,5851754.000,108.050,57.000,1730.000,38.000
73,Colorado,5845526.000,56.400,28.000,3728.000,97.000
74,Minnesota,5700671.000,71.590,27.000,742.000,18.000
75,South Carolina,5210095.000,173.320,26.000,1554.000,31.000
76,Alabama,4908621.000,96.920,20.000,1261.000,32.000
77,Louisiana,4645184.000,107.520,24.000,9150.000,310.000
78,Kentucky,4499692.000,113.960,27.000,770.000,31.000
79,Oregon,4301089.000,44.810,34.000,826.000,21.000
80,Oklahoma,3954821.000,57.650,27.000,879.000,34.000
81,Connecticut,3563077.000,735.870,25.000,3824.000,112.000
82,Utah,3282115.000,39.940,27.000,1074.000,7.000
83,Iowa,3179849.000,56.930,25.000,614.000,11.000
84,Nevada,3139658.000,28.600,28.000,1458.000,38.000
85,Arkansas,3038999.000,58.400,22.000,683.000,12.000
86,Puerto Rico,3032165.000,876.600,20.000,316.000,12.000
87,Mississippi,2989260.000,63.710,22.000,1177.000,26.000
88,Kansas,2910357.000,35.600,26.000,552.000,13.000
89,New Mexico,2096640.000,17.290,22.000,403.000,7.000
90,Nebraska,1952570.000,25.420,27.000,246.000,5.000
91,Idaho,1826156.000,22.100,20.000,891.000,9.000
92,West Virginia,1778070.000,73.970,16.000,217.000,2.000
93,Hawaii,1412687.000,219.940,27.000,285.000,1.000
94,New Hampshire,1371246.000,153.160,31.000,479.000,5.000
95,Maine,1345790.000,43.630,21.000,376.000,32.000
96,Montana,1086759.000,7.470,22.000,227.000,6.000
97,Rhode Island,1056161.000,1021.430,32.000,657.000,12.000
98,Delaware,982895.000,504.310,22.000,393.000,12.000
99,South Dakota,903027.000,11.910,23.000,165.000,2.000
100,North Dakota,761723.000,11.040,22.000,159.000,3.000
101,Alaska,734002.000,1.290,21.000,143.000,3.000
102,District of Columbia,720687.000,11814.540,26.000,653.000,12.000
103,Vermont,628061.000,68.140,25.000,338.000,17.000
104,Wyoming,567025.000,5.840,22.000,150.000,0.000
105,California,39937489.000,256.370,68.000,11175.000,246.000
106,Texas,29472295.000,112.820,30.000,4823.000,77.000
107,Florida,21992985.000,410.130,33.000,9008.000,144.000
108,New York,19440469.000,412.520,33.000,93053.000,2538.000
109,Pennsylvania,12820878.000,286.540,28.000,7264.000,90.000
110,Illinois,12659682.000,228.020,70.000,7695.000,157.000
111,Ohio,11747694.000,287.500,25.000,2902.000,81.000
112,Georgia,10736059.000,186.670,32.000,5444.000,176.000
113,North Carolina,10611862.000,218.270,31.000,2023.000,18.000
114,Michigan,10045029.000,177.670,24.000,10791.000,417.000
115,New Jersey,8936574.000,1215.200,30.000,25590.000,537.000
116,Virginia,8626207.000,218.440,27.000,1706.000,41.000
117,Washington,7797095.000,117.330,73.000,6585.000,272.000
118,Arizona,7378494.000,64.960,67.000,1598.000,32.000
119,Massachusetts,6976597.000,894.440,62.000,8966.000,154.000
120,Tennessee,6897576.000,167.270,29.000,3194.000,32.000
121,Indiana,6745354.000,188.280,28.000,3039.000,32.000
122,Missouri,6169270.000,89.750,27.000,1834.000,19.000
123,Maryland,6083116.000,626.670,29.000,2331.000,36.000
124,Wisconsin,5851754.000,108.050,58.000,1730.000,38.000
125,Colorado,5845526.000,56.400,29.000,3728.000,97.000
126,Minnesota,5700671.000,71.590,28.000,742.000,18.000
127,South Carolina,5210095.000,173.320,27.000,1554.000,31.000
128,Alabama,4908621.000,96.920,21.000,1270.000,32.000
129,Louisiana,4645184.000,107.520,25.000,9150.000,310.000
130,Kentucky,4499692.000,113.960,28.000,770.000,31.000
131,Oregon,4301089.000,44.810,35.000,826.000,21.000
132,Oklahoma,3954821.000,57.650,28.000,879.000,34.000
133,Connecticut,3563077.000,735.870,26.000,3824.000,112.000
134,Utah,3282115.000,39.940,28.000,1074.000,7.000
135,Iowa,3179849.000,56.930,26.000,614.000,11.000
136,Nevada,3139658.000,28.600,29.000,1458.000,38.000
137,Arkansas,3038999.000,58.400,23.000,683.000,12.000
138,Puerto Rico,3032165.000,876.600,21.000,316.000,12.000
139,Mississippi,2989260.000,63.710,23.000,1177.000,26.000
140,Kansas,2910357.000,35.600,27.000,552.000,13.000
141,New Mexico,2096640.000,17.290,23.000,403.000,7.000
142,Nebraska,1952570.000,25.420,28.000,246.000,5.000
143,Idaho,1826156.000,22.100,21.000,891.000,9.000
144,West Virginia,1778070.000,73.970,17.000,217.000,2.000
145,Hawaii,1412687.000,219.940,28.000,285.000,1.000
146,New Hampshire,1371246.000,153.160,32.000,479.000,5.000
147,Maine,1345790.000,43.630,22.000,376.000,7.000
148,Montana,1086759.000,7.470,23.000,241.000,6.000
149,Rhode Island,1056161.000,1021.430,33.000,657.000,12.000
150,Delaware,982895.000,504.310,23.000,393.000,12.000
151,South Dakota,903027.000,11.910,24.000,165.000,2.000
152,North Dakota,761723.000,11.040,23.000,159.000,3.000
153,Alaska,734002.000,1.290,22.000,151.000,3.000
154,District of Columbia,720687.000,11814.540,27.000,653.000,12.000
155,Vermont,628061.000,68.140,26.000,338.000,17.000
156,Wyoming,567025.000,5.840,23.000,150.000,0.000
157,California,39937489.000,256.370,69.000,12267.000,275.000
158,Texas,29472295.000,112.820,31.000,5658.000,97.000
159,Florida,21992985.000,410.130,34.000,10268.000,170.000
160,New York,19440469.000,412.520,34.000,103476.000,3218.000
161,Pennsylvania,12820878.000,286.540,29.000,8420.000,102.000
162,Illinois,12659682.000,228.020,71.000,8904.000,210.000
163,Ohio,11747694.000,287.500,26.000,3312.000,91.000
164,Georgia,10736059.000,186.670,33.000,5967.000,198.000
165,North Carolina,10611862.000,218.270,32.000,2287.000,27.000
166,Michigan,10045029.000,177.670,25.000,12744.000,479.000
167,New Jersey,8936574.000,1215.200,31.000,29895.000,646.000
168,Virginia,8626207.000,218.440,28.000,2012.000,46.000
169,Washington,7797095.000,117.330,74.000,6966.000,291.000
170,Arizona,7378494.000,64.960,68.000,1769.000,41.000
171,Massachusetts,6976597.000,894.440,63.000,10402.000,192.000
172,Tennessee,6897576.000,167.270,30.000,3194.000,37.000
173,Indiana,6745354.000,188.280,29.000,3437.000,102.000
174,Missouri,6169270.000,89.750,28.000,2113.000,31.000
175,Maryland,6083116.000,626.670,30.000,2758.000,42.000
176,Wisconsin,5851754.000,108.050,59.000,1916.000,46.000
177,Colorado,5845526.000,56.400,30.000,4173.000,111.000
178,Minnesota,5700671.000,71.590,29.000,789.000,22.000
179,South Carolina,5210095.000,173.320,28.000,1700.000,34.000
180,Alabama,4908621.000,96.920,22.000,1515.000,38.000
181,Louisiana,4645184.000,107.520,26.000,10297.000,370.000
182,Kentucky,4499692.000,113.960,29.000,831.000,37.000
183,Oregon,4301089.000,44.810,36.000,899.000,22.000
184,Oklahoma,3954821.000,57.650,29.000,988.000,38.000
185,Connecticut,3563077.000,735.870,27.000,4914.000,131.000
186,Utah,3282115.000,39.940,29.000,1246.000,7.000
187,Iowa,3179849.000,56.930,27.000,699.000,11.000
188,Nevada,3139658.000,28.600,30.000,1514.000,43.000
189,Arkansas,3038999.000,58.400,24.000,738.000,12.000
190,Puerto Rico,3032165.000,876.600,22.000,378.000,15.000
191,Mississippi,2989260.000,63.710,24.000,1358.000,29.000
192,Kansas,2910357.000,35.600,28.000,620.000,17.000
193,New Mexico,2096640.000,17.290,24.000,495.000,10.000
194,Nebraska,1952570.000,25.420,29.000,279.000,6.000
195,Idaho,1826156.000,22.100,22.000,1013.000,10.000
196,West Virginia,1778070.000,73.970,18.000,237.000,2.000
197,Hawaii,1412687.000,219.940,29.000,319.000,3.000
198,New Hampshire,1371246.000,153.160,33.000,540.000,7.000
199,Maine,1345790.000,43.630,23.000,432.000,9.000
200,Montana,1086759.000,7.470,24.000,262.000,6.000
201,Rhode Island,1056161.000,1021.430,34.000,711.000,14.000
202,Delaware,982895.000,504.310,24.000,450.000,14.000
203,South Dakota,903027.000,11.910,25.000,187.000,2.000
204,North Dakota,761723.000,11.040,24.000,173.000,3.000
205,Alaska,734002.000,1.290,23.000,151.000,3.000
206,District of Columbia,720687.000,11814.540,28.000,757.000,15.000
207,Vermont,628061.000,68.140,27.000,389.000,17.000
208,Wyoming,567025.000,5.840,24.000,166.000,0.000
209,California,39937489.000,256.370,70.000,13927.000,321.000
210,Texas,29472295.000,112.820,32.000,6359.000,111.000
211,Florida,21992985.000,410.130,35.000,11545.000,195.000
212,New York,19440469.000,412.520,35.000,114775.000,3565.000
213,Pennsylvania,12820878.000,286.540,30.000,10415.000,136.000
214,Illinois,12659682.000,228.020,72.000,10357.000,243.000
215,Ohio,11747694.000,287.500,27.000,3739.000,102.000
216,Georgia,10736059.000,186.670,34.000,6383.000,208.000
217,North Carolina,10611862.000,218.270,33.000,2509.000,33.000
218,Michigan,10045029.000,177.670,26.000,14225.000,540.000
219,New Jersey,8936574.000,1215.200,32.000,34124.000,846.000
220,Virginia,8626207.000,218.440,29.000,2407.000,52.000
221,Washington,7797095.000,117.330,75.000,7591.000,314.000
222,Arizona,7378494.000,64.960,69.000,2019.000,52.000
223,Massachusetts,6976597.000,894.440,64.000,11736.000,216.000
224,Tennessee,6897576.000,167.270,31.000,3321.000,43.000
225,Indiana,6745354.000,188.280,30.000,3953.000,116.000
226,Missouri,6169270.000,89.750,29.000,2291.000,36.000
227,Maryland,6083116.000,626.670,31.000,3125.000,53.000
228,Wisconsin,5851754.000,108.050,60.000,2112.000,56.000
229,Colorado,5845526.000,56.400,31.000,4565.000,126.000
230,Minnesota,5700671.000,71.590,30.000,856.000,24.000
231,South Carolina,5210095.000,173.320,29.000,1917.000,40.000
232,Alabama,4908621.000,96.920,23.000,1633.000,44.000
233,Louisiana,4645184.000,107.520,27.000,12496.000,409.000
234,Kentucky,4499692.000,113.960,30.000,917.000,40.000
235,Oregon,4301089.000,44.810,37.000,999.000,26.000
236,Oklahoma,3954821.000,57.650,30.000,1159.000,42.000
237,Connecticut,3563077.000,735.870,28.000,5276.000,165.000
238,Utah,3282115.000,39.940,30.000,1428.000,8.000
239,Iowa,3179849.000,56.930,28.000,786.000,14.000
240,Nevada,3139658.000,28.600,31.000,1742.000,46.000
241,Arkansas,3038999.000,58.400,25.000,743.000,14.000
242,Puerto Rico,3032165.000,876.600,23.000,452.000,18.000
243,Mississippi,2989260.000,63.710,25.000,1455.000,35.000
244,Kansas,2910357.000,35.600,29.000,698.000,21.000
245,New Mexico,2096640.000,17.290,25.000,546.000,11.000
246,Nebraska,1952570.000,25.420,30.000,321.000,6.000
247,Idaho,1826156.000,22.100,23.000,1025.000,10.000
248,West Virginia,1778070.000,73.970,19.000,282.000,2.000
249,Hawaii,1412687.000,219.940,30.000,351.000,3.000
250,New Hampshire,1371246.000,153.160,34.000,621.000,9.000
251,Maine,1345790.000,43.630,24.000,456.000,10.000
252,Montana,1086759.000,7.470,25.000,281.000,6.000
253,Rhode Island,1056161.000,1021.430,35.000,806.000,17.000
254,Delaware,982895.000,504.310,25.000,593.000,14.000
255,South Dakota,903027.000,11.910,26.000,212.000,2.000
256,North Dakota,761723.000,11.040,25.000,186.000,3.000
257,Alaska,734002.000,1.290,24.000,171.000,5.000
258,District of Columbia,720687.000,11814.540,29.000,902.000,21.000
259,Vermont,628061.000,68.140,28.000,461.000,20.000
260,Wyoming,567025.000,5.840,25.000,187.000,0.000
